bankrupt,current_liability_to_current_assets,liability-assets_flag,total_expense_or_assets,cash_or_current_liability,fixed_assets_turnover_frequency,fixed_assets_to_assets,net_value_growth_rate,revenue_per_person,total_assets_to_gnp_price,quick_asset_turnover_rate,tax_rate_(a),cash_or_total_assets
1,0.11825047660899,0,0.064855707690831,0.0001473360247605,0.0001165006532358,0.424205762216667,0.000326977269203,0.0341641819543792,0.0092194400211029,6550000000.0,0.0,0.004094405952288
1,0.0477752815903248,0,0.0255158599950638,0.0013839100814699,719000000.0,0.468828128338473,0.0004430401005442,0.0068886506176284,0.0083233017948103,7700000000.0,0.0,0.0149477269714099
1,0.0253464891288078,0,0.0213874282332057,5340000000.0,2650000000.0,0.276179222234543,0.0003964253147034,0.0289969595934374,0.0400028528527523,0.001022676471902,0.0,0.0009909444511248
1,0.0672496172630687,0,0.0241610701740241,0.0010106464315761,9150000000.0,0.559143963323496,0.0003824259063219,0.015463478401363,0.0032524752911273,6050000000.0,0.0,0.0188506248270314
1,0.0477253717624306,0,0.0263852456518637,0.000680463559654,0.0002935211263343,0.309554916594047,0.0004389475818729,0.0581114228221436,0.0038775630938002,5050000000.0,0.0,0.0141609737513009
1,0.099521933114496,0,0.0400936219797891,0.0001008563413234,9300000000.0,0.603193479638275,0.0003517819250519,0.0213004714833365,0.0052778749010734,2810000000.0,0.0,0.0026452256427289
0,0.060765124792415,0,0.0928023065929925,0.0010503117869961,0.0001452475676706,0.355853781517835,0.0003517569706697,0.0114595420295815,0.0183718717412392,9560000000.0,0.0,0.0229885979786101
0,0.0302011045942807,0,0.0254821527696264,0.0008881219853254,0.0005182009575748,0.218473358265378,0.0004510504572116,0.0280774936474597,0.0100045037641927,6180000000.0,0.157607045247495,0.0146159133960059
0,0.021710461445184,0,0.0298840610686264,0.0131902147956569,0.0002458617681924,0.323861362852714,0.0004527224008151,0.0163829443473407,0.0008240712069684,9840000000.0,0.0058710395789047,0.145189217702725
0,0.0254943019553504,0,0.0358910619841396,0.0004908833959261,0.0007383418023256,0.254953362305477,0.0004449116792048,0.0332799670989821,0.005797642207721,3600000000.0,0.392448628403685,0.0087727909152724
0,0.0471663480130232,0,0.0288024007502241,0.0003358964624396,0.0001747509798537,0.225490748514615,0.0004485550189975,0.0138948048705257,0.0769722571664823,2920000000.0,0.0,0.0020568362370428
0,0.0337116016801524,0,0.0569522804331302,0.0022537354878338,0.0001066661825081,0.328376158606439,0.0004550681127365,0.0104255100392168,0.0073178811657058,8360000000.0,0.0,0.0205422288308614
0,0.0435139896178212,0,0.0289815649541968,0.0032200408294524,0.0002140888627645,0.283665961816029,0.0004429652373977,0.0353245303526578,0.008232490111815,6910000000.0,0.185241421196477,0.0582180014761003
0,0.0289016723593667,0,0.0244835563399058,0.0056636431787699,0.0001792899663434,0.412271983710146,0.0004420918340228,0.0261181205293539,0.0052622229684534,6330000000.0,0.0,0.0741698566235507
0,0.0155531326728028,0,0.0119415074643122,0.0040087963146452,9460000000.0,0.57759008455658,0.0004737339905785,0.0259477402582142,0.0039539229308491,8160000000.0,0.0,0.021194016958275
0,0.0258128487067077,0,0.0553818953293584,0.0003719079468762,0.0003056250903069,0.26144632645713,0.000469242201793,0.0276956068328364,0.0065903461441656,6060000000.0,0.258730640753113,0.0037668242316719
0,0.0462912301964762,0,0.0076786087302244,0.0071649135908568,5600000000.0,0.176992241780613,0.0004585617262363,0.0150140269964602,0.0136106545588463,0.0002135963267975,0.0294564227148497,0.0528667007517992
0,0.0181566375652698,0,0.0400184855275817,0.0016393357266088,0.0002284623199819,0.212349965170013,0.0004717625943893,0.0164035074835128,0.0027463052778231,7550000000.0,0.217430914060128,0.013907170944156
0,0.0400836626660674,0,0.0200027998283443,0.0007745714081234,0.000199715405547,0.588536991728379,0.0004610322100683,0.104918995931437,0.0042383947829724,319000000.0,0.0955562303876911,0.0128012850229898
0,0.0219368610613265,0,0.0872959625304909,0.0090001659796179,0.0001369260924394,0.453055476663582,0.0004455604931405,0.00487346327277,0.0015213773636788,8050000000.0,0.441643891082093,0.0935031388966463
0,0.0109407284049022,0,0.0235294828509088,0.0130333306319023,9000000000.0,0.312307507929358,0.0004456104019047,0.0182953160113391,0.0140393835372133,0.0001189628412977,0.261058811620609,0.0319240864779537
0,0.0186129431781689,0,0.033490377677269,0.0107444011582479,0.0003094075790483,0.282147476190727,0.0004663974022288,0.0258919260314616,0.0009354776039944,0.0001112446722149,0.208928029152748,0.139413215037929
0,0.0403947838257492,0,0.0567865521129865,0.0026054898883075,0.0001021271960184,0.64345360540442,0.0004669713530181,0.0063598842589192,0.0018297581082122,6590000000.0,0.0055673651179269,0.038272302580135
0,0.0552426750998399,0,0.0230569804778184,0.0074057206818274,0.0001059096847598,0.44612495011706,0.000443189826837,0.0144176960474715,0.0187531730574311,0.0001968574595429,0.417653608664845,0.207866389543797
0,0.0501706511809911,0,0.0288464702634791,0.0006434377317955,0.0001868549438262,0.529125895813831,0.0004575385965685,0.0285651337338249,0.0008303787948983,6920000000.0,0.306913655228262,0.017860838627217
0,0.0455039195364612,0,0.0298788242134928,0.0017621484251645,6200000000.0,0.375466283657815,0.0003974983531355,0.0091300324603792,0.0058869342713454,9360000000.0,0.0,0.0149537656982419
0,0.0514813759696364,0,0.0531008179927038,0.0020781549539,953000000.0,0.63609965730605,0.0004541697549794,0.007725864018918,0.0011928328959783,6300000000.0,0.23109626480413,0.026006422332886
